Week,Class number,Date,Project,Class Type,Class Description,Assignment,Activities,What to bring,Link to Page
,,,,,,,,,
7,13,W - October 22,Main Project,Introduction & Dev Day,Project Introduction and P5 Media,https://canvascloud.ocadu.ca/courses/12214/assignments/103718,Methods for Digitizing,"Laptop,Phone",https://canvascloud.ocadu.ca/courses/12214/pages/class-13-w-october-22
,14,F - October 24,Main Project,Dev Day,Intro to ML5,https://canvascloud.ocadu.ca/courses/12214/assignments/103719,"Backstory Workshop, working with ML5 input","Laptop,Phone",https://canvascloud.ocadu.ca/courses/12214/pages/class-14-f-october-24
8,15,W - October 29,Main Project,Dev Day,First Interactions,https://canvascloud.ocadu.ca/courses/12214/assignments/103720,Creating a simple working version of your character,"Laptop,Phone",https://canvascloud.ocadu.ca/courses/12214/pages/class-15-w-october-29
,16,F - October 31,Main Project,Flexible Work Session,No formal class. Work Wherever you like,,,,https://canvascloud.ocadu.ca/courses/12214/pages/class-16-f-october-31
9,17,W - November 5,Main Project,Playtesting ,Playtest Session,https://canvascloud.ocadu.ca/courses/12214/assignments/103761,Playtesting your character,"Your working prototype, A QR code of the link, A way to capture feedback",https://canvascloud.ocadu.ca/courses/12214/pages/class-17-w-november-5
,18,F - November 7,Main Project,Flexible Work Session,No formal class. Work Wherever you like,,,,https://canvascloud.ocadu.ca/courses/12214/pages/class-18-f-november-7
10,19,W - November 12,Main Project,Dev Day,Responding to Feedback,https://canvascloud.ocadu.ca/courses/12214/assignments/103721,Implement at least 1 feedback point,"Laptop,Phone",https://canvascloud.ocadu.ca/courses/12214/pages/class-19-w-november-12
,20,F - November 14,Main Project,Flexible Work Session,No formal class. Work Wherever you like,,,,https://canvascloud.ocadu.ca/courses/12214/pages/class-20-f-november-14
11,21,W - November 19,Main Project,Dev Day,Refining the Interaction,https://canvascloud.ocadu.ca/courses/12214/assignments/103722,Making your feature list,"Laptop,Phone",https://canvascloud.ocadu.ca/courses/12214/pages/class-21-w-november-19
,22,F - November 21,Main Project,Flexible Work Session,No formal class. Work Wherever you like,,,,https://canvascloud.ocadu.ca/courses/12214/pages/class-22-f-november-21
12,23,W - November 26,Main Project,Playtesting ,Playtest Session,https://canvascloud.ocadu.ca/courses/12214/assignments/103762,Playtesting your character,"Your working prototype, A QR code of the link, A way to capture feedback",https://canvascloud.ocadu.ca/courses/12214/pages/class-23-w-november-26
,24,F - November 28,Main Project,Dev Day,Responding to Feedback,https://canvascloud.ocadu.ca/courses/12214/assignments/103723,Final To do list,,https://canvascloud.ocadu.ca/courses/12214/pages/class-24-f-november-28
,,F - December 12,Main Project,Documentation Due,,https://canvascloud.ocadu.ca/courses/12214/assignments/103763,,,
